"ameslist.SalePrice" "ameslist.YearBuilt" "ameslist.YearRemodAdd" "ameslist.BsmtFinSF1" "ameslist.BsmtUnfSF" "ameslist.BsmtFinSF2" "ameslist.TotalBsmtSF" "ameslist.X1stFlrSF" "ameslist.X2ndFlrSF" "ameslist.LowQualFinSF" "ameslist.GrLivArea" "ameslist.FullBath"
"79" 136500 1968 1968 0 1768 0 1768 1768 0 0 1768 2
"80" 110000 1910 1981 0 440 0 440 682 548 0 1230 1
"81" 193500 1968 1968 448 448 0 896 1182 960 0 2142 2
"82" 153500 1998 1998 1201 36 0 1237 1337 0 0 1337 2
"83" 245000 2007 2007 33 1530 0 1563 1563 0 0 1563 2
"84" 126500 1960 1960 0 1065 0 1065 1065 0 0 1065 1
"85" 168500 1995 1996 0 384 0 384 804 670 0 1474 2
"86" 260000 1991 1992 0 1288 0 1288 1301 1116 0 2417 2
"87" 174000 2005 2005 0 684 0 684 684 876 0 1560 2
"88" 164500 2009 2009 0 612 0 612 612 612 0 1224 2
"89" 85000 1915 1982 0 1013 0 1013 1013 0 513 1526 1
"90" 123600 1994 1995 588 402 0 990 990 0 0 990 1
"91" 109900 1950 1950 0 0 0 0 1040 0 0 1040 1
"92" 98600 1961 1961 600 635 0 1235 1235 0 0 1235 1
"93" 163500 1921 2006 713 163 0 876 964 0 0 964 1
"94" 133900 1910 1998 1046 168 0 1214 1260 1031 0 2291 2
"95" 204750 1997 1997 648 176 0 824 905 881 0 1786 2
"96" 185000 1993 1993 310 370 0 680 680 790 0 1470 2
"97" 214000 1999 1999 1162 426 0 1588 1588 0 0 1588 2
"98" 94750 1965 1965 520 440 0 960 960 0 0 960 1
"99" 83000 1920 1950 108 350 0 458 835 0 0 835 1
"100" 128950 1959 1959 569 381 0 950 1225 0 0 1225 1
"101" 205000 1977 2001 1200 410 0 1610 1610 0 0 1610 2
"102" 178000 1985 1985 0 741 0 741 977 755 0 1732 2
"103" 118964 1979 1979 0 0 0 0 1535 0 0 1535 2
"104" 198900 2009 2009 0 1226 0 1226 1226 0 0 1226 2
"105" 169500 1931 1950 224 816 0 1040 1226 592 0 1818 1
"106" 250000 2003 2004 0 1053 0 1053 1053 939 0 1992 2
"107" 100000 1885 1995 0 641 0 641 1047 0 0 1047 1
"108" 115000 1948 1950 104 516 169 789 789 0 0 789 1
"109" 115000 1919 2005 0 793 0 793 997 520 0 1517 2
"110" 190000 1977 1977 705 1139 0 1844 1844 0 0 1844 2
"111" 136900 1954 1972 444 550 0 994 1216 639 0 1855 2
"112" 180000 2000 2000 250 134 0 384 774 656 0 1430 2
"113" 383970 2007 2007 984 280 0 1264 1282 1414 0 2696 2
"114" 217000 1953 1953 35 905 869 1809 2259 0 0 2259 2
"115" 259500 1945 2002 774 104 150 1028 1436 884 0 2320 2
"116" 176000 1999 1999 419 310 0 729 729 729 0 1458 2
"117" 139000 1962 1962 170 252 670 1092 1092 0 0 1092 1
"118" 155000 2006 2007 0 1125 0 1125 1125 0 0 1125 1
"119" 320000 1990 1990 1470 203 0 1673 1699 1523 0 3222 3
"120" 163990 2005 2006 0 728 0 728 728 728 0 1456 2
"121" 180000 1969 1969 938 0 0 938 988 0 0 988 1
"122" 100000 1939 1950 0 732 0 732 772 351 0 1123 1
"123" 136000 1958 1958 570 510 0 1080 1080 0 0 1080 1
"124" 153900 1993 1993 300 899 0 1199 1199 0 0 1199 2
"125" 181000 1979 1998 0 1362 0 1362 1586 0 0 1586 2
"126" 84500 1935 1982 490 30 0 520 520 0 234 754 1
"127" 128000 1976 1976 120 958 0 1078 958 0 0 958 2
"128" 87000 1930 1950 116 556 0 672 840 0 0 840 1
"129" 155000 1966 1966 512 148 0 660 660 688 0 1348 1
"130" 150000 1958 1991 567 413 28 1008 1053 0 0 1053 1
"131" 226000 1966 1966 445 479 0 924 1216 941 0 2157 2
"132" 244000 2000 2000 695 297 0 992 1022 1032 0 2054 2
"133" 150750 1959 2002 405 658 0 1063 1327 0 0 1327 1
"134" 220000 2001 2002 1005 262 0 1267 1296 0 0 1296 2
"135" 180000 1968 1993 570 891 0 1461 1721 0 0 1721 2
"136" 174000 1970 1970 0 1304 0 1304 1682 0 0 1682 2
"137" 143000 1967 1967 695 519 0 1214 1214 0 0 1214 2
"138" 171000 1988 1989 0 1907 0 1907 1959 0 0 1959 3
"139" 230000 1999 2000 668 336 0 1004 1004 848 0 1852 2
"140" 231500 1997 1997 821 107 0 928 928 836 0 1764 2
"141" 115000 1971 1971 432 432 0 864 864 0 0 864 1
"142" 260000 2005 2005 1300 434 0 1734 1734 0 0 1734 2
"143" 166000 1952 1952 507 403 0 910 910 475 0 1385 2
"144" 204000 1999 1999 679 811 0 1490 1501 0 0 1501 2
"145" 125000 1963 1963 1332 396 0 1728 1728 0 0 1728 2
"146" 130000 2004 2006 0 970 0 970 970 739 0 1709 2
"147" 105000 1931 1993 209 506 0 715 875 0 0 875 1
"148" 222500 2001 2001 0 884 0 884 884 1151 0 2035 2
"149" 141000 2004 2005 680 400 0 1080 1080 0 0 1080 1
"150" 115000 1936 1950 0 896 0 896 896 448 0 1344 1
"151" 122000 1975 1975 716 253 0 969 969 0 0 969 1
"152" 372402 2007 2008 1400 310 0 1710 1710 0 0 1710 2
"153" 190000 1971 1971 416 409 0 825 1097 896 0 1993 2
"154" 235000 1960 1975 429 93 1080 1602 1252 0 0 1252 1
"155" 125000 1923 1950 0 1200 0 1200 1200 0 0 1200 1
"156" 79000 1924 1950 0 572 0 572 572 524 0 1096 1
"157" 109500 1950 1950 0 0 0 0 1040 0 0 1040 1
"158" 269500 2009 2010 0 774 0 774 774 1194 0 1968 2
"159" 254900 2004 2005 222 769 0 991 991 956 0 1947 2
"160" 320000 2005 2006 57 1335 0 1392 1392 1070 0 2462 2
"161" 162500 1984 1984 660 572 0 1232 1232 0 0 1232 2
"162" 412500 2003 2004 1016 556 0 1572 1572 1096 0 2668 2
"163" 220000 2005 2005 1201 340 0 1541 1541 0 0 1541 2
"164" 103200 1956 1956 0 882 0 882 882 0 0 882 1
"165" 152000 1926 2004 370 779 0 1149 1149 467 0 1616 2
"166" 127500 1940 1999 351 112 181 644 808 547 0 1355 2
"167" 190000 1955 1993 379 470 768 1617 1867 0 0 1867 1
"168" 325624 2007 2007 1288 294 0 1582 1610 551 0 2161 1
"169" 183500 2004 2004 0 840 0 840 840 880 0 1720 2
"170" 228000 1981 1981 0 1686 0 1686 1707 0 0 1707 2
"171" 128500 1941 1950 360 360 0 720 854 0 528 1382 1
"172" 215000 1960 1960 639 441 0 1080 1656 0 0 1656 1
"173" 239000 1987 1987 495 354 215 1064 1064 703 0 1767 2
"174" 163000 1961 1961 288 700 374 1362 1362 0 0 1362 1
"175" 184000 1986 1986 1398 0 208 1606 1651 0 0 1651 2
"176" 243000 1950 2001 477 725 0 1202 2158 0 0 2158 2
"177" 211000 1988 1989 831 320 0 1151 1164 896 0 2060 2
"178" 172500 1958 1958 57 554 441 1052 1252 668 0 1920 2
"179" 501837 2008 2009 1904 312 0 2216 2234 0 0 2234 2
"180" 100000 1923 2006 0 968 0 968 968 0 0 968 1
"181" 177000 2000 2000 436 320 0 756 769 756 0 1525 2
"182" 200100 1920 1950 352 441 0 793 901 901 0 1802 1
"183" 120000 1957 2006 0 0 0 0 1340 0 0 1340 1
"184" 200000 2003 2003 0 1362 0 1362 1362 720 0 2082 2
"185" 127000 1908 1991 0 504 0 504 936 316 0 1252 1
"186" 475000 1892 1993 0 1107 0 1107 1518 1518 572 3608 2
"187" 173000 1990 1991 611 577 0 1188 1217 0 0 1217 2
"188" 135000 1916 1987 0 660 0 660 808 704 144 1656 2
"189" 153337 1979 1979 1086 0 0 1086 1224 0 0 1224 0
"190" 286000 2001 2002 1153 440 0 1593 1593 0 0 1593 1
"191" 315000 1932 1994 297 556 0 853 1549 1178 0 2727 2
"192" 184000 1972 2004 626 99 0 725 725 754 0 1479 1
"193" 192000 1999 1999 560 871 0 1431 1431 0 0 1431 2
"194" 130000 2004 2004 0 970 0 970 970 739 0 1709 2
"195" 127000 1972 1972 390 474 0 864 864 0 0 864 1
"196" 148500 1976 1976 566 289 0 855 855 601 0 1456 2
"197" 311872 2007 2007 1126 600 0 1726 1726 0 0 1726 2
"198" 235000 1918 1990 1036 140 184 1360 1360 1360 392 3112 2
"199" 104000 1912 1950 0 755 0 755 929 929 371 2229 1
"200" 274900 2004 2005 1088 625 0 1713 1713 0 0 1713 2
"201" 140000 2003 2004 0 1121 0 1121 1121 0 0 1121 2
"202" 171500 1977 1977 641 276 279 1196 1279 0 0 1279 2
"203" 112000 1924 1950 617 0 0 617 865 445 0 1310 2
"204" 149000 2004 2004 662 186 0 848 848 0 0 848 1
"205" 110000 1947 1950 312 408 0 720 720 564 0 1284 1
"206" 180500 1990 1990 0 1424 0 1424 1442 0 0 1442 2
"207" 143900 1962 1962 0 1140 0 1140 1696 0 0 1696 1
"208" 141000 1960 1960 419 375 306 1100 1100 0 0 1100 1
"209" 277000 1988 1989 1065 92 0 1157 1180 882 0 2062 2
"210" 145000 1964 1964 787 305 0 1092 1092 0 0 1092 1
"211" 98000 1925 1950 468 396 0 864 864 0 0 864 1
"212" 186000 2009 2009 36 1176 0 1212 1212 0 0 1212 2
"213" 252678 2009 2009 822 78 0 900 932 920 0 1852 2
"214" 156000 1995 1995 716 274 0 990 990 0 0 990 1
"215" 161750 1977 1977 378 311 0 689 689 703 0 1392 1
"216" 134450 1957 1996 360 710 0 1070 1236 0 0 1236 1
"217" 210000 2004 2004 946 490 0 1436 1436 0 0 1436 2
"218" 107000 1925 1950 0 686 0 686 810 518 0 1328 1
"219" 311500 1939 2006 341 457 0 798 1137 817 0 1954 1
"220" 167240 2005 2006 16 1232 0 1248 1248 0 0 1248 2
"221" 204900 2006 2006 0 1498 0 1498 1498 0 0 1498 2
"222" 200000 2002 2002 0 1010 0 1010 1010 1257 0 2267 2
"223" 179900 1975 1975 550 163 0 713 811 741 0 1552 2
"224" 97000 1971 1971 524 160 180 864 864 0 0 864 1
"225" 386250 2003 2003 56 2336 0 2392 2392 0 0 2392 2
"226" 112000 1971 1971 0 630 0 630 630 672 0 1302 2
"227" 290000 1995 1995 565 638 0 1203 1214 1306 0 2520 2
"228" 106000 1970 1970 321 162 0 483 483 504 0 987 1
"229" 125000 1967 1967 842 70 0 912 912 0 0 912 1
"230" 192500 2005 2006 16 1357 0 1373 1555 0 0 1555 2
"231" 148000 1959 1959 0 1194 0 1194 1194 0 0 1194 1
"232" 403000 1995 1996 689 773 0 1462 1490 1304 0 2794 2
"233" 94500 1972 1972 0 483 0 483 483 504 0 987 1
"234" 128200 1976 1976 182 0 712 894 894 0 0 894 1
"235" 216500 2002 2002 625 235 0 860 860 1100 0 1960 2
"236" 89500 1971 1971 358 125 0 483 483 504 0 987 1
"237" 185500 2004 2004 24 1390 0 1414 1414 0 0 1414 2
"238" 194500 1993 2003 402 594 0 996 1014 730 0 1744 2
"239" 318000 2007 2007 0 1694 0 1694 1694 0 0 1694 2
"240" 113000 1945 1950 94 641 0 735 798 689 0 1487 1
"241" 262500 2008 2008 1078 488 0 1566 1566 0 0 1566 2
"242" 110500 1945 1997 329 357 0 686 866 0 0 866 1
"243" 79000 1900 1950 0 540 0 540 889 551 0 1440 1
"244" 120000 1980 1980 0 626 0 626 626 591 0 1217 1
"245" 205000 1994 2002 695 253 0 948 1222 888 0 2110 2
"246" 241500 1988 1988 929 916 0 1845 1872 0 0 1872 2
"247" 137000 1910 1950 0 1020 0 1020 908 1020 0 1928 2
"248" 140000 1954 1954 0 1367 0 1367 1375 0 0 1375 1
"249" 180000 2003 2003 0 840 0 840 840 828 0 1668 2
"250" 277000 1958 2006 697 747 0 1444 1444 700 0 2144 2
"251" 76500 1940 1966 0 728 0 728 1306 0 0 1306 1
"252" 235000 2006 2007 1573 0 0 1573 1625 0 0 1625 2
"253" 173000 2004 2004 0 798 0 798 798 842 0 1640 2
"254" 158000 1964 1991 270 452 580 1302 1302 0 0 1302 2
"255" 145000 1957 1957 922 392 0 1314 1314 0 0 1314 1
"256" 230000 1999 1999 0 975 0 975 1005 1286 0 2291 2
"257" 207500 2003 2003 503 361 0 864 864 864 0 1728 2
"258" 220000 2006 2006 1334 270 0 1604 1604 0 0 1604 2
"259" 231500 2001 2001 361 602 0 963 963 829 0 1792 2
"260" 97000 1956 1956 0 0 0 0 882 0 0 882 1
"261" 176000 1962 1962 672 0 690 1362 1382 0 0 1382 1
"262" 276000 2007 2007 0 1482 0 1482 1482 1092 0 2574 2
"263" 151000 1977 1995 506 0 0 506 1212 0 0 1212 1
"264" 130000 1929 2001 234 0 692 926 926 0 390 1316 1
"265" 73000 1925 2004 0 680 0 680 764 0 0 764 1
"266" 175500 1981 1981 588 606 228 1422 1422 0 0 1422 2
"267" 185000 1997 1997 714 88 0 802 802 709 0 1511 2
"268" 179500 1939 1997 378 342 0 720 1052 720 420 2192 2
"269" 120500 1940 1955 403 212 125 740 778 0 0 778 1
"270" 148000 1976 1976 751 392 0 1143 1113 0 0 1113 1
"271" 266000 2006 2006 0 1095 0 1095 1095 844 0 1939 2
"272" 241500 1954 2005 226 96 1063 1385 1363 0 0 1363 1
"273" 290000 1999 2007 524 628 0 1152 1164 1106 0 2270 2
"274" 139000 1958 1988 620 0 620 1240 1632 0 0 1632 2
"275" 124500 1982 1982 546 270 0 816 816 0 0 816 1
"276" 205000 1925 2007 0 952 0 952 952 596 0 1548 2
"277" 201000 2003 2003 0 1560 0 1560 1560 0 0 1560 2
"278" 141000 1951 1951 120 744 0 864 864 0 0 864 1
"279" 415298 2006 2007 0 2121 0 2121 2121 0 0 2121 2
"280" 192000 1977 1977 392 768 0 1160 1156 866 0 2022 2
"281" 228500 1989 1989 421 386 0 807 1175 807 0 1982 2
"282" 185000 2006 2006 905 357 0 1262 1262 0 0 1262 2
"283" 207500 2007 2008 904 410 0 1314 1314 0 0 1314 2
"284" 244600 2008 2009 0 1468 0 1468 1468 0 0 1468 2
"285" 179200 1992 1992 430 1145 0 1575 1575 0 0 1575 2
"286" 164700 2006 2007 0 625 0 625 625 625 0 1250 2
"287" 159000 1962 1981 600 312 0 912 1085 649 0 1734 1
"288" 88000 1971 1971 614 244 0 858 858 0 0 858 1
"289" 122000 1967 1967 450 432 0 882 900 0 0 900 1
"290" 153575 1915 2003 0 698 0 698 698 698 0 1396 1
"291" 233230 2006 2006 0 1079 0 1079 1079 840 0 1919 2
"292" 135900 1912 2000 210 570 0 780 936 780 0 1716 2
"293" 131000 1949 2008 292 476 0 768 1148 568 0 1716 1
"294" 235000 1977 1994 795 0 0 795 1468 795 0 2263 2
"295" 167000 1953 1953 1285 131 0 1416 1644 0 0 1644 1
"296" 142500 1984 1984 819 184 0 1003 1003 0 0 1003 1
"297" 152000 1950 1950 420 490 0 910 910 648 0 1558 1
"298" 239000 1997 1998 649 326 0 975 975 975 0 1950 2
"299" 175000 1968 1968 384 143 175 702 1041 702 0 1743 1
"300" 158500 1950 2004 0 1092 0 1092 1152 0 0 1152 1
"301" 157000 1953 1953 841 324 0 1165 1336 0 0 1336 1
"302" 267000 1998 1999 281 747 0 1028 1210 1242 0 2452 2
"303" 205000 2001 2002 0 1541 0 1541 1541 0 0 1541 2
"304" 149900 1972 1972 894 0 0 894 894 0 0 894 1
"305" 295000 1880 2002 0 1470 0 1470 1675 1818 0 3493 3
"306" 305900 2004 2005 1464 536 0 2000 2000 0 0 2000 2
"307" 225000 1990 1991 700 0 0 700 1122 1121 0 2243 2
"308" 89500 1920 1950 0 319 0 319 1035 371 0 1406 1
"309" 82500 1940 1950 262 599 0 861 861 0 0 861 1
"310" 360000 2003 2004 1274 622 0 1896 1944 0 0 1944 2
"311" 165600 1993 1994 518 179 0 697 697 804 0 1501 2
"312" 132000 1948 2002 680 292 0 972 972 0 0 972 1
"313" 119900 1939 1950 507 286 0 793 793 325 0 1118 1
"314" 375000 1965 1965 1236 80 820 2136 2036 0 0 2036 2
"315" 178000 1925 1990 16 712 0 728 832 809 0 1641 1
"316" 188500 2004 2005 425 291 0 716 716 716 0 1432 2
"317" 260000 1980 1980 692 153 0 845 1153 1200 0 2353 2
"318" 270000 2006 2006 0 1088 0 1088 1088 871 0 1959 2
"319" 260000 1993 1993 987 360 0 1347 1372 1274 0 2646 2
"320" 187500 1980 1980 1036 336 0 1372 1472 0 0 1472 2
"321" 342643 2006 2006 0 1249 0 1249 1249 1347 0 2596 3
"322" 354000 2004 2004 970 166 0 1136 1136 1332 0 2468 2
"323" 301000 1986 1987 28 0 1474 1502 1553 1177 0 2730 2
"324" 126175 1955 2005 256 906 0 1162 1163 0 0 1163 1
"325" 242000 1967 2007 0 710 0 710 1898 1080 0 2978 2
"326" 87000 1941 1950 116 604 0 720 803 0 0 803 1
"327" 324000 1993 1993 1619 100 0 1719 1719 0 0 1719 1
"328" 145250 1960 1960 565 818 0 1383 1383 0 0 1383 1
"329" 214500 1916 1994 0 844 0 844 1445 689 0 2134 2
"330" 78000 1920 1950 0 596 0 596 596 596 0 1192 1
"331" 119000 1964 1964 40 1424 264 1728 1728 0 0 1728 2
"332" 139000 1958 1992 846 210 0 1056 1056 0 0 1056 1
"333" 284000 2003 2004 1124 1603 479 3206 1629 0 0 1629 2
"334" 207000 2004 2004 720 638 0 1358 1358 0 0 1358 2
"335" 192000 1998 1998 828 115 0 943 943 695 0 1638 2
"336" 228950 1965 1965 1249 103 147 1499 1619 167 0 1786 2
"337" 377426 2005 2006 1249 673 0 1922 1922 0 0 1922 2
"338" 214000 2002 2003 810 726 0 1536 1536 0 0 1536 2
"339" 202500 1984 1998 213 995 0 1208 1621 0 0 1621 2
"340" 155000 1958 1998 585 630 0 1215 1215 0 0 1215 1
"341" 202900 2002 2002 0 967 0 967 993 915 0 1908 2
"342" 82000 1950 1950 0 721 0 721 841 0 0 841 1
"343" 87500 1949 1950 0 0 0 0 1040 0 0 1040 2
"344" 266000 2005 2005 28 1656 0 1684 1684 0 0 1684 2
"345" 85000 1976 1976 129 175 232 536 536 576 0 1112 1
"346" 140200 1939 1950 0 972 0 972 972 605 0 1577 1
"347" 151500 1960 1998 498 460 0 958 958 0 0 958 1
"348" 157500 1960 1960 1270 208 0 1478 1478 0 0 1478 2
"349" 154000 2003 2004 573 191 0 764 764 862 0 1626 2
"350" 437154 2005 2006 1410 438 0 1848 1848 880 0 2728 2
"351" 318061 2007 2007 0 1869 0 1869 1869 0 0 1869 2
"352" 190000 1986 1986 1082 371 0 1453 1453 0 0 1453 1
"353" 95000 1941 1950 236 0 380 616 616 495 0 1111 1
"354" 105900 1928 2003 0 624 0 624 720 0 0 720 1
"355" 140000 1940 2000 388 552 0 940 1192 403 0 1595 1
"356" 177500 1995 1995 334 322 544 1200 1200 0 0 1200 2
"357" 173000 1992 1992 560 598 0 1158 1167 0 0 1167 2
"358" 134000 1976 1976 874 268 0 1142 1142 0 0 1142 1
"359" 130000 1958 1958 300 468 294 1062 1352 0 0 1352 1
"360" 280000 1998 1998 956 130 0 1086 1086 838 0 1924 2
"361" 156000 1978 1978 773 115 0 888 912 0 0 912 1
"362" 145000 1940 1982 399 484 0 883 988 517 0 1505 1
"363" 198500 2003 2003 0 0 0 0 495 1427 0 1922 3
"364" 118000 1972 2007 162 321 0 483 483 504 0 987 1
"365" 190000 1976 1976 712 84 0 796 790 784 0 1574 2
"366" 147000 1920 1997 456 216 0 672 672 672 0 1344 1
"367" 159000 1963 1963 609 785 0 1394 1394 0 0 1394 1
"368" 165000 1962 1962 371 728 0 1099 1431 0 0 1431 1
"369" 132000 1954 1954 540 728 0 1268 1268 0 0 1268 1
"370" 162000 1959 2006 72 733 258 1063 1287 0 0 1287 1
"371" 172400 2000 2000 0 953 0 953 953 711 0 1664 2
"372" 134432 1959 1959 0 0 0 0 1120 468 0 1588 2
"373" 125000 1984 1984 623 0 121 744 752 0 0 752 1
"374" 123000 1953 1953 428 0 180 608 1319 0 0 1319 1
"375" 219500 2003 2004 0 847 0 847 847 1081 0 1928 2
"376" 61000 1922 1950 350 333 0 683 904 0 0 904 0
"377" 148000 1996 1996 298 572 0 870 914 0 0 914 1
"378" 340000 2004 2005 0 1580 0 1580 1580 886 0 2466 3
"379" 394432 2010 2010 1445 411 0 1856 1856 0 0 1856 1
"380" 179000 2000 2000 0 982 0 982 1007 793 0 1800 2
"381" 127000 1924 1950 218 808 0 1026 1026 665 0 1691 2
"382" 187750 2006 2006 0 1293 0 1293 1301 0 0 1301 2
"383" 213500 2006 2006 0 939 0 939 939 858 0 1797 2
"384" 76000 1928 1950 0 784 0 784 784 0 0 784 1
"385" 240000 1992 1992 985 595 0 1580 1079 874 0 1953 2
"386" 192000 2004 2005 24 1232 0 1256 1269 0 0 1269 2
"387" 81000 1910 1996 0 658 0 658 658 526 0 1184 1
"388" 125000 1976 1976 631 410 0 1041 1125 0 0 1125 1
"389" 191000 1999 2000 0 1468 0 1468 1479 0 0 1479 2
"390" 426000 2007 2008 1280 402 0 1682 1742 590 0 2332 2
"391" 119000 1900 1950 241 229 391 861 961 406 0 1367 1
"392" 215000 2001 2002 690 114 0 804 804 1157 0 1961 2
"393" 106500 1959 1959 0 0 0 0 882 0 0 882 1
"394" 100000 1941 1950 266 522 0 788 788 0 0 788 1
"395" 109000 1940 1950 0 735 0 735 735 299 0 1034 1
"396" 129000 1956 1956 739 405 0 1144 1144 0 0 1144 1
"397" 123000 1972 1972 777 117 0 894 894 0 0 894 1
"398" 169500 1962 1962 540 324 0 864 876 936 0 1812 2
"399" 67000 1920 1950 0 961 0 961 1077 0 0 1077 1
"400" 241000 2006 2007 812 280 0 1092 1112 438 0 1550 2
"401" 245500 1996 1996 786 474 0 1260 1288 0 0 1288 1
"402" 164990 2005 2005 24 1286 0 1310 1310 0 0 1310 2
"403" 108000 1940 1997 0 672 0 672 672 0 0 672 1
"404" 258000 1998 1998 0 1141 0 1141 1165 1098 0 2263 2
"405" 168000 1995 1996 0 806 0 806 806 766 0 1572 2
"406" 150000 1976 1993 1116 165 0 1281 1620 0 0 1620 2
"407" 115000 1936 1950 0 1064 0 1064 1166 0 473 1639 1
"408" 177000 1915 1976 0 840 0 840 840 840 0 1680 2
"409" 280000 2006 2006 0 1063 0 1063 1071 1101 0 2172 2
